TRACKING_MONTH,CARRIER,SOURCE_CITY,SOURCE_STATE,SOURCE_COUNTRY,DEST_CITY,DEST_STATE,DEST_COUNTRY,ORDER_COUNT,AVG_TRANSIT_DAYS,ACTUAL_TRANSIT_DAYS,ONTIME_PERFORMANCE
2025 02,ODFL,CHICAGO,IL,US,EDWARDSVILLE,IL,US,10,1,6,20
2024 12,AEQC,GRAND RAPIDS,MI,US,RICHMOND,VA,US,12,1,9,25
2024 12,RBTW,RICHMOND,VA,US,DUBLIN,GA,US,2,1,2,50
2024 11,ODFL,CHICAGO,IL,US,HOPKINS,MN,US,6,1,4,100
2024 11,ODFL,LANCASTER,TX,US,SHAFTER,CA,US,3,3,5,67
2024 09,ODFL,LOSANGELES,CA,US,COMMERCE,CA,US,3,1,4,100
2024 11,ODFL,RICHMOND,VA,US,CARLISLE,PA,US,4,1,5,50
2024 11,ODFL,LANCASTER,TX,US,GALESBURG,MI,US,8,3,5,34
2024 12,ODFL,RICHMOND,VA,US,JUPITER,FL,US,11,2,4,19
2024 11,ODFL,CHICAGO,IL,US,SMYRNA,DE,US,4,2,4,50
2024 11,ODFL,LANCASTER,TX,US,SEARCY,AR,US,2,1,4,100
2024 08,RBTW,LOSANGELES,CA,US,LACEY,WA,US,1,2,2,100
2024 11,ODFL,LANCASTER,TX,US,LAKELAND,FL,US,2,2,7,100
2024 12,ODFL,CHICAGO,IL,US,BLUFFTON,IN,US,4,1,9,50
2024 12,ODFL,CHICAGO,IL,US,MOUNT VERNON,IL,US,8,2,4,50
2024 12,ODFL,CHICAGO,IL,US,OCONOMOWOC,WI,US,4,1,2,100
2024 12,ODFL,LANCASTER,TX,US,WAXAHACHIE,TX,US,6,1,4,34
2024 12,ODFL,CHICAGO,IL,US,OKLAHOMA CITY,OK,US,6,2,3,67
2024 12,ODFL,LOSANGELES,CA,US,WOODLAND,CA,US,8,1,3,50
2025 02,RBTW,LOSANGELES,CA,US,RICHMOND,VA,US,75,5,7,5
2025 01,ODFL,RICHMOND,VA,US,CHIPPEWA FALLS,WI,US,3,3,3,100
2025 02,ODFL,CHICAGO,IL,US,SANGER,TX,US,4,2,4,50
2025 02,ODFL,CHICAGO,IL,US,OCONOMOWOC,WI,US,4,1,3,100
2024 11,ODFL,RICHMOND,VA,US,GROVE CITY,OH,US,2,2,4,100
2025 02,ODFL,DALLAS,TX,US,PLAINFIELD,IN,US,10,3,5,30
2024 12,ODFL,LOSANGELES,CA,US,PUYALLUP,WA,US,9,2,7,67
2025 02,ODFL,LANCASTER,TX,US,MADISON,AL,US,2,2,3,100
2025 01,ODFL,CHICAGO,IL,US,OCONOMOWOC,WI,US,2,1,2,100
2025 01,ODFL,LANCASTER,TX,US,WACO,TX,US,4,1,3,50
2024 11,ODFL,CHICAGO,IL,US,CHEROKEE,IA,US,6,2,4,34
