SOURCE_CITY,SOURCE_STATE,SOURCE_COUNTRY,DEST_CITY,DEST_STATE,DEST_COUNTRY,TMODE,CARRIER,SPOT_RATE,DISTANCE,COST_PER_MILE
PHARR,TX,US,SALINAS,CA,US,PARCEL,FDEG,5134.6,1821,2.75
PHARR,TX,US,COMMERCE,CA,US,LTL,ODFL,271.64,1515.67,0.18
PHARR,TX,US,ELKHART,IN,US,PARCEL,FDEG,4896.05,1483.5,3.37
PHARR,TX,US,BROOKFIELD,WI,US,PARCEL,FDEG,5104.7,1488,3.36
PHARR,TX,US,ROCHESTER,NY,US,LTL,ODFL,241.9,1871,0.13
PHARR,TX,US,KANSAS CITY,MO,US,LTL,CTII,236.44,990,0.25
PHARR,TX,US,KANSAS CITY,MO,US,LTL,FXFE,161.3,990,0.17
PHARR,TX,US,ROANOKE,TX,US,LTL,FXFE,168.64,517,0.32
PHARR,TX,US,CARROLLTON,TX,US,LTL,AACT,194.56,517,0.38
PHARR,TX,US,PLEASANT PRAIRIE,WI,US,PARCEL,FDEG,5147.3,1450,3.45
PHARR,TX,US,BOSSIER CITY,LA,US,PARCEL,FDEG,4784.6,584,8.56
PHARR,TX,US,BRANDON,VT,US,TL,RBTW,5438.28,2152,2.55
PHARR,TX,US,SOUTHAVEN,MS,US,LTL,ODFL,172.59,913,0.19
PHARR,TX,US,MERIDIAN,MS,US,LTL,ODFL,180.53,847,0.21
PHARR,TX,US,LITTLETON,CO,US,LTL,ODFL,186.55,1158,0.16
ELWOOD,IL,US,INDIANAPOLIS,IN,US,LTL,ODFL,200.3,186,1.08
ELWOOD,IL,US,LANSING,MI,US,TL,BNCH,5009.05,238,21.04
ELWOOD,IL,US,BLACK JACK,MO,US,LTL,ODFL,205.33,249,0.81
RICHMOND,VA,US,LAKE PARK,GA,US,LTL,SEFL,173.41,635,0.28
ELWOOD,IL,US,HAZLETON,PA,US,LTL,ODFL,811.7,690,1.17
ELWOOD,IL,US,WINDSOR,CT,US,LTL,ODFL,132.17,914,0.14
ELWOOD,IL,US,SALEM,NJ,US,LTL,ODFL,190.82,772,0.25
ELWOOD,IL,US,MONAHANS,TX,US,LTL,ODFL,269.41,1215,0.23
ELWOOD,IL,US,LAWRENCEVILLE,GA,US,TL,RBTW,2168.25,698,3.17
ELWOOD,IL,US,UPTON,KY,US,LTL,ODFL,134.45,358,0.37
ELWOOD,IL,US,"HIALEAH GARDENS,",FL,US,LTL,ODFL,411.39,1326,0.32
RICHMOND,VA,US,SMITHFIELD,VA,US,LTL,ODFL,128.37,69,1.93
RICHMOND,VA,US,MT. CRAWFORD,VA,US,LTL,ODFL,335.21,120,2.78
RICHMOND,VA,US,NEW BRAUNFELS,TX,US,LTL,ODFL,687.42,1466,0.47
RICHMOND,VA,US,MERRITT ISLAND,FL,US,LTL,ODFL,159.28,752,0.21
RICHMOND,VA,US,FORT MYERS,FL,US,LTL,ODFL,161.53,890,0.18
RICHMOND,VA,US,MIDDLETOWN,RI,US,LTL,ODFL,149.64,507,0.3
RICHMOND,VA,US,LANSDALE,PA,US,LTL,ODFL,157.39,254,0.6
RICHMOND,VA,US,RICHLAND CENTER,WI,US,LTL,ODFL,145.67,963,0.15
LANCASTER,TX,US,SAN BERNARDINO,CA,US,PARCEL,FDEG,5025.08,1319,3.79
LANCASTER,TX,US,HURRICANE,UT,US,LTL,ODFL,265.59,1153,0.23
LANCASTER,TX,US,WOODLAND,CA,US,TL,RBTW,3253.28,1741,1.79
LANCASTER,TX,US,GOODYEAR,AZ,US,TL,RBTW,2045.03,1023,2.03
LANCASTER,TX,US,MT. CRAWFORD,VA,US,LTL,ODFL,220.34,1195,0.19
LANCASTER,TX,US,HUTCHINSON,KS,US,LTL,ODFL,355.69,420.5,0.85
REDLANDS,CA,US,NEWPORT NEWS,VA,US,LTL,ODFL,1736.28,2600.5,0.66
REDLANDS,CA,US,WALTON,KY,US,LTL,ODFL,780.52,2114,0.38
REDLANDS,CA,US,NORTH CANTON,OH,US,TL,RBTW,4929.52,2276,2.13
REDLANDS,CA,US,HERMISTON,OR,US,LTL,ODFL,962.26,1019,0.94
PHARR,TX,US,CARENCRO,LA,US,LTL,ODFL,174.18,562,0.31
PHARR,TX,US,EDGERTON,KS,US,LTL,ODFL,186.05,969.25,0.19
LANCASTER,TX,US,SANGER,TX,US,TL,RBQT,413.86,63,6.28
PHARR,TX,US,OMAHA,NE,US,PARCEL,FDEG,4966.55,1143,4.37
PHARR,TX,US,PERTH AMBOY,NJ,US,LTL,ODFL,311.41,1920.5,0.16
PHARR,TX,US,DORAVILLE,GA,US,LTL,AACT,133.89,1146,0.12
PHARR,TX,US,CENTRAL FALLS,RI,US,PARCEL,FDEG,4924.8,2126,2.35
PHARR,TX,US,ST LOUIS,MO,US,PARCEL,FDEG,4995.25,1119,4.47
PHARR,TX,US,AUSTIN,TX,US,PARCEL,FDEG,4907.65,300,16.66
PHARR,TX,US,GREENVILLE,IL,US,LTL,AACT,144.13,1168,0.12
PHARR,TX,US,PARK CITY,KS,US,LTL,ODFL,229.45,864,0.26
PHARR,TX,US,BAYONNE,NJ,US,LTL,ODFL,219.28,1939.38,0.11
PHARR,TX,US,LOUISBURG,NC,US,LTL,ODFL,153.44,1542,0.1
PHARR,TX,US,OKLAHOMA CITY,OK,US,PARCEL,FDEG,5123.41,695,7.2
ELWOOD,IL,US,AURORA,IL,US,TL,AFXN,370.45,31,12.1
RICHMOND,VA,US,CLINTON,IA,US,TL,RBQT,1822.22,893,1.97
ELWOOD,IL,US,CHINO,CA,US,LTL,ODFL,306.39,1956,0.15
ELWOOD,IL,US,SCHODACK LANDING,NY,US,LTL,ODFL,204.71,831,0.24
ELWOOD,IL,US,MESA,AZ,US,LTL,ODFL,719.73,1631,0.46
ELWOOD,IL,US,HOPEWELL JUNCTION,NY,US,LTL,ODFL,272.64,826,0.32
ELWOOD,IL,US,INWOOD,WV,US,PARCEL,FDEG,5113.4,651,7.68
RICHMOND,VA,US,GREENWOOD,IN,US,LTL,ODFL,929.85,612,1.5
RICHMOND,VA,US,TIFTON,GA,US,LTL,ODFL,503.07,629.33,0.8
RICHMOND,VA,US,REPUBLIC,MO,US,LTL,ODFL,671.13,1037,0.65
RICHMOND,VA,US,SOMERSET,NJ,US,LTL,ODFL,407.34,301.67,1.39
RICHMOND,VA,US,MIDWAY,TN,US,PARCEL,FDEG,4961.75,366,13.67
RICHMOND,VA,US,STONEHAM,MA,US,LTL,ODFL,149.78,548,0.28
RICHMOND,VA,US,WAPPINGERS FALLS,NY,US,LTL,ODFL,155.01,392,0.39
RICHMOND,VA,US,SARATOGA SPRINGS,NY,US,LTL,ODFL,155.9,497,0.31
RICHMOND,VA,US,HOMESTEAD,FL,US,LTL,ODFL,162.56,972,0.16
RICHMOND,VA,US,WEST LEBANON,NH,US,LTL,ODFL,157.3,592,0.26
SUMNER,WA,US,MADISON,AL,US,LTL,ODFL,690.13,2450,0.29
SUMNER,WA,US,RED BLUFF,CA,US,LTL,ODFL,719.44,596,1.24
LANCASTER,TX,US,SEALY,TX,US,PARCEL,FDEG,4919.65,230,21.71
LANCASTER,TX,US,TUCSON,AZ,US,PARCEL,FDEG,5156.3,917,5.46
LANCASTER,TX,US,MONROE,OH,US,LTL,ODFL,834.59,957,0.85
LANCASTER,TX,US,SHELBY,NC,US,PARCEL,FDEG,5020.9,987,5.07
LANCASTER,TX,US,SUTHERLAND,VA,US,LTL,ODFL,383.72,1259,0.3
REDLANDS,CA,US,MORRIS,IL,US,TL,BNCH,4977.96,1927,2.59
REDLANDS,CA,US,FORNEY,TX,US,TL,RBTW,3020.8,1329,2.33
REDLANDS,CA,US,PLANT CITY,FL,US,LTL,ODFL,1100.18,2377,0.46
PHARR,TX,US,LA VERGNE,TN,US,LTL,AACT,207.07,1129.5,0.19
LANCASTER,TX,US,UNIVERSITY PARK,IL,US,LTL,ODFL,201.77,911,0.22
PHARR,TX,US,DARIEN,IL,US,LTL,ODFL,218.07,1390.67,0.16
PHARR,TX,US,TWINSBURG,OH,US,TL,TFIN,4910.3,1618,3.09
PHARR,TX,US,PATTERSON,CA,US,LTL,SAIA,220.94,1819,0.12
PHARR,TX,US,DIXON,IL,US,LTL,ODFL,187.92,1384.6,0.14
PHARR,TX,US,W COXSACKIE,NY,US,LTL,SAIA,422.04,2051,0.2
PHARR,TX,US,VISALIA,CA,US,PARCEL,FDEG,4784.55,1701,2.94
PHARR,TX,US,SCRANTON,PA,US,PARCEL,FDEG,4992.96,1895.5,2.64
ELWOOD,IL,US,DELTA,BC,CA,LTL,ODFL,359.84,2111,0.18
RICHMOND,VA,US,CHAMBERSBURG,PA,US,TL,LRGR,949.85,191,4.92
ELWOOD,IL,US,OLIVE BRANCH,MS,US,LTL,ODFL,599.2,522,1.16
ELWOOD,IL,US,PUYALLUP,WA,US,LTL,ODFL,877.99,2023,0.42
ELWOOD,IL,US,WEST JEFFERSON,OH,US,TL,RBTW,1239.43,316,3.95
ELWOOD,IL,US,IRVINE,CA,US,LTL,ODFL,1810.22,1982,0.91
ELWOOD,IL,US,LANCASTER,TX,US,TL,BNCH,4933.8,892,5.61
ELWOOD,IL,US,PERRIS,CA,US,LTL,ODFL,1097.12,1962,0.58
ELWOOD,IL,US,SPOKANE,WA,US,LTL,ODFL,1179.1,1733,0.7
ELWOOD,IL,US,MATTOON,IL,US,TL,BNCH,5012.38,151,33.05
ELWOOD,IL,US,MACON,GA,US,TL,RBTW,2220.34,761,2.87
ELWOOD,IL,US,MARGATE,FL,US,LTL,ODFL,171.63,1302,0.13
ELWOOD,IL,US,CINCINNATI,OH,US,LTL,ODFL,130.95,295,0.45
RICHMOND,VA,US,HOPE MILLS,NC,US,TL,AEQC,1210.44,215,5.64
RICHMOND,VA,US,PATTERSON,CA,US,LTL,ODFL,2462.58,2796,0.88
RICHMOND,VA,US,OSWEGO,IL,US,LTL,ODFL,595.16,792,0.74
RICHMOND,VA,US,POST FALLS,ID,US,LTL,ODFL,251.71,2453,0.1
RICHMOND,VA,US,WESTBURY,NY,US,LTL,ODFL,146.52,353,0.43
RICHMOND,VA,US,LEWIS CENTER,OH,US,LTL,ODFL,139.17,483,0.3
RICHMOND,VA,US,LEOMINSTER,MA,US,LTL,ODFL,152.26,526,0.29
RICHMOND,VA,US,CONYERS,GA,US,LTL,ODFL,151.33,510,0.31
RICHMOND,VA,US,ST. JOHNS,FL,US,LTL,SEFL,497.45,615,0.79
SUMNER,WA,US,EUGENE,OR,US,LTL,ODFL,477.9,256,1.88
LANCASTER,TX,US,JONESVILLE,SC,US,LTL,ODFL,614.68,969,0.64
LANCASTER,TX,US,COLUMBUS,OH,US,LTL,ODFL,162.62,1036,0.16
REDLANDS,CA,US,LIVONIA,MI,US,TL,RBTW,4916.99,2215,2.27
PHARR,TX,US,LEXINGTON,SC,US,LTL,ODFL,176.39,1330,0.13
PHARR,TX,US,BEND,OR,US,LTL,ODFL,320.15,2174,0.15
PHARR,TX,US,LYNN HAVEN,FL,US,PARCEL,FDEG,5155.45,972,5.14
PHARR,TX,US,STERLING,VA,US,LTL,ODFL,288.05,1704,0.17
PHARR,TX,US,LOWELL,AR,US,LTL,ODFL,201.38,835,0.23
PHARR,TX,US,WICHITA,KS,US,PARCEL,FDEG,5212.05,852,5.87
PHARR,TX,US,ERIE,PA,US,LTL,ODFL,163.77,1717,0.09
RICHMOND,VA,US,LOCUST GROVE,GA,US,LTL,SEFL,199.37,534,0.37
ELWOOD,IL,US,BEAVER DAM,WI,US,LTL,ODFL,351.74,172,2.04
ELWOOD,IL,US,PARKER,CO,US,PARCEL,FDEG,5010.5,991,5.05
ELWOOD,IL,US,DUNN,NC,US,LTL,ODFL,277.64,806,0.35
ELWOOD,IL,US,FORNEY,TX,US,LTL,ODFL,426.52,889,0.48
RICHMOND,VA,US,HOPKINS,MN,US,LTL,ODFL,349.4,1170.5,0.31
RICHMOND,VA,US,EAST SYRACUSE,NY,US,LTL,ODFL,145.52,474,0.32
RICHMOND,VA,US,COLLEGE POINT,NY,US,LTL,ODFL,148.89,342,0.44
RICHMOND,VA,US,HAMPTON,VA,US,LTL,ODFL,134.14,79,1.68
RICHMOND,VA,US,KEARNY,NJ,US,LTL,ODFL,153.8,324,0.47
LANCASTER,TX,US,GREENFIELD,IN,US,TL,RBTW,1905.85,902,2.02
REDLANDS,CA,US,JOLIET,IL,US,LTL,ODFL,1468.24,1944,0.74
REDLANDS,CA,US,CRANBURY,NJ,US,TL,RBTW,5133.59,2660,1.88
PHARR,TX,US,SACRAMENTO,CA,US,LTL,SAIA,339.14,1904,0.18
PHARR,TX,US,MILWAUKEE,WI,US,LTL,ODFL,195.5,1487,0.13
PHARR,TX,US,HAMPTON,VA,US,LTL,FXFE,205.36,1704,0.12
PHARR,TX,US,SOUTHAVEN,MS,US,TL,ECHS,5307.68,913,6.06
PHARR,TX,US,PLYMOUTH,MA,US,LTL,ODFL,164.32,2154,0.07
ELWOOD,IL,US,RED BLUFF,CA,US,LTL,ODFL,1184.45,2067,0.56
